Unnamed: 0,id,name,lat,lon,splitFailurePct,startDate,endDate,day count,startTime,endTime,days_of_week,reportID,lookup,ID,Month,Year,Time,totalVehicleVolume,start_dt,month_no,year_no,crash_count,crashes per 1000 veh,total_crashes,tot crashes per 1000 veh
32240,30.2352_-97.8257,South Mopac Expressway,30.23522,-97.82567,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,114887,44652,4,2022,0,0,4,0.03481682
32241,30.2352_-97.8766,Highway 71 West,30.23516,-97.87658,2.708,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,113990,44652,4,2022,0,0,6,0.052636196
32242,30.2531_-97.6925,Levander Loop & Airport Boulevard,30.25311,-97.69248,0.037,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,124147,44652,4,2022,2,1.61099E-05,13,0.104714572
32243,30.2539_-97.7124,East 2nd Street & Pleasant Valley Road,30.25391,-97.71236,0.051,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,48416,44652,4,2022,0,0,4,0.082617317
32244,30.2596_-97.7535,Barton Springs Road & Bouldin Avenue,30.25956,-97.75351,0.311,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,86125,44652,4,2022,0,0,3,0.034833091
32245,30.2618_-97.7388,East Cesar Chavez Street & Red River Street,30.2618,-97.73883,2.93,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,119381,44652,4,2022,2,1.67531E-05,11,0.092141966
32246,30.2626_-97.7221,East 7th Street & Chicon Street,30.26257,-97.72213,1.849,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,132443,44652,4,2022,0,0,13,0.098155433
32247,30.2656_-97.7375,East 5th Street & Red River Street,30.26557,-97.73754,0.438,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,55782,44652,4,2022,0,0,1,0.01792693
32248,30.2660_-97.7535,Walter Seaholm Drive & West Cesar Chavez Street,30.26599,-97.75352,1.333,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,132921,44652,4,2022,0,0,6,0.045139594
32249,30.2687_-97.7862,Bee Caves Road,30.26871,-97.78616,0.129,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,120808,44652,4,2022,0,0,0,0
32250,30.2709_-97.7560,West 5th Street & Baylor Street,30.27088,-97.75603,0.512,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,53957,44652,4,2022,0,0,0,0
32251,30.2718_-97.7452,West 9th Street & Guadalupe Street,30.27184,-97.74524,2.291,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,95744,44652,4,2022,0,0,4,0.041778075
32252,30.2738_-97.7199,East 12th Street & Chicon Street,30.27377,-97.71991,0.307,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,52444,44652,4,2022,0,0,8,0.152543666
32253,30.2856_-97.7633,Enfield Road,30.28564,-97.7633,0.465,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,160134,44652,4,2022,0,0,12,0.07493724
32254,30.2985_-97.7170,North Interstate 35,30.29852,-97.71698,0.575,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,38255,44652,4,2022,0,0,0,0
32255,30.3048_-97.7196,East 45th Street & Red River Street,30.30482,-97.71961,0.24,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,57731,44652,4,2022,0,0,4,0.069286865
32256,30.3154_-97.7416,West 45th Street & Burnet Road,30.31535,-97.74163,0.27,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,135309,44652,4,2022,0,0,2,0.014780983
32257,30.3208_-97.6959,East US Highway 290 & Cameron Road,30.32077,-97.69588,2.503,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,96036,44652,4,2022,0,0,9,0.093714857
32258,30.3309_-97.7316,West Koenig Lane & Woodrow Avenue,30.33088,-97.73158,0.355,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,94769,44652,4,2022,0,0,8,0.08441579
32259,30.3850_-97.7668,North Capital of Texas Highway & Spicewood Springs Road,30.385,-97.76676,0.446,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,307875,44652,4,2022,1,3.24807E-06,8,0.025984572
32260,30.3948_-97.7547,Rain Creek Parkway & Great Hills Trail,30.3948,-97.7547,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,41310,44652,4,2022,1,2.42072E-05,1,0.024207214
32261,30.4050_-97.7161,Gault Lane & Burnet Road,30.40496,-97.71607,0.24,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,113953,44652,4,2022,0,0,9,0.07897993
32262,30.4438_-97.7424,McNeil Drive & West Parmer Lane,30.44385,-97.74239,0.847,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,250040,44652,4,2022,0,0,21,0.083986562
32263,30.2250_-97.8550,West William Cannon Drive & Beckett Road,30.22498,-97.85499,0.07,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,82896,44652,4,2022,3,3.61899E-05,10,0.120633082
32264,30.2259_-97.8227,Home Depot Boulevard & Brodie Lane,30.22592,-97.82273,0.45,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,96155,44652,4,2022,0,0,0,0
32265,30.2269_-97.7692,South 1st Street & West Ben White Boulevard,30.22688,-97.76924,1.108,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,158277,44652,4,2022,1,6.31804E-06,22,0.138996822
32266,30.2296_-97.7885,West Ben White Boulevard & Menchaca Road,30.22961,-97.78854,0.852,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,104895,44652,4,2022,2,1.90667E-05,24,0.228800229
32267,30.2329_-97.8007,West Gate Boulevard & South Lamar Boulevard,30.2329,-97.80074,0.212,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,73114,44652,4,2022,0,0,3,0.041031813
32268,30.2336_-97.8184,West US Highway 290,30.23358,-97.81835,0.123,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,111371,44652,4,2022,0,0,0,0
32269,30.2386_-97.7894,South Lamar Boulevard,30.23866,-97.78929,0.081,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,105971,44652,4,2022,0,0,15,0.141548159
32270,30.2452_-97.7513,West Mary Street & South Congress Avenue,30.24517,-97.75132,0.057,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,94117,44652,4,2022,0,0,3,0.031875219
32271,30.2643_-97.7442,West 2nd Street & Congress Avenue,30.26432,-97.74421,2.15,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,76201,44652,4,2022,0,0,5,0.065615937
